Card number,Name,Rarity,Category,Category,Qty
SDK-001,"""Blue-Eyes White Dragon""",Ultra Rare,Normal Monster,Effect Monster,1
SDK-002,"""Hitotsu-Me Giant""",Common,Normal Monster,Effect Monster,1
SDK-003,"""Ryu-Kishin""",Common,Normal Monster,Normal Monster,1
SDK-004,"""The Wicked Worm Beast""",Common,Effect Monster,Normal Monster,1
SDK-005,"""Battle Ox""",Common,Normal Monster,Normal Monster,1
SDK-006,"""Koumori Dragon""",Common,Normal Monster,Normal Monster,1
SDK-007,"""Judge Man""",Common,Normal Monster,Normal Monster,1
SDK-008,"""Rogue Doll""",Common,Normal Monster,Normal Monster,2
SDK-009,"""Kojikocy""",Common,Normal Monster,Normal Monster,1
SDK-010,"""Uraby""",Common,Normal Monster,Normal Monster,1
SDK-011,"""Gyakutenno Megami""",Common,Normal Monster,Normal Monster,1
SDK-012,"""Mystic Horseman""",Common,Normal Monster,Effect Monster,1
SDK-013,"""Terra the Terrible""",Common,Normal Monster,Effect Monster,2
SDK-014,"""Dark Titan of Terror""",Common,Normal Monster,Effect Monster,1
SDK-015,"""Dark Assailant""",Common,Normal Monster,Effect Monster,1
SDK-016,"""Master & Expert""",Common,Normal Monster,Effect Monster,1
SDK-017,"""Unknown Warrior of Fiend""",Common,Normal Monster,Normal Spell Card,1
SDK-018,"""Mystic Clown""",Common,Normal Monster,Normal Spell Card,1
SDK-019,"""Ogre of the Black Shadow""",Common,Normal Monster,Equip Spell Card,1
SDK-020,"""Dark Energy""",Common,Equip Spell Card,Normal Spell Card,2
SDK-021,"""Invigoration""",Common,Equip Spell Card,Normal Spell Card,1
SDK-022,"""Dark Hole""",Common,Normal Spell Card,Normal Spell Card,1
SDK-023,"""Ookazi""",Common,Normal Spell Card,Equip Spell Card,1
SDK-024,"""Ryu-Kishin Powered""",Common,Normal Monster,Normal Spell Card,1
SDK-025,"""Swordstalker""",Common,Normal Monster,Equip Spell Card,1
SDK-026,"""La Jinn the Mystical Genie of the Lamp""",Common,Normal Monster,Normal Spell Card,1
SDK-027,"""Rude Kaiser""",Common,Normal Monster,Normal Spell Card,2
SDK-028,"""Destroyer Golem""",Common,Normal Monster,Normal Spell Card,1
SDK-029,"""Skull Red Bird""",Common,Normal Monster,Normal Spell Card,1
SDK-030,"""D. Human""",Common,Normal Monster,Equip Spell Card,1
SDK-031,"""Pale Beast""",Common,Normal Monster,Normal Trap Card,1
SDK-032,"""Fissure""",Common,Normal Spell Card,Counter Trap Card,1
SDK-033,"""Trap Hole""",Common,Normal Trap Card,Counter Trap Card,1
SDK-034,"""Two-Pronged Attack""",Common,Normal Trap Card,Normal Trap Card,1
SDK-035,"""De-Spell""",Common,Normal Spell Card,Continuous Trap Card,1
SDK-036,"""Monster Reborn""",Common,Normal Spell Card,Normal Trap Card,1
SDK-037,"""The Inexperienced Spy""",Common,Normal Spell Card,Fusion Monster,1
SDK-038,"""Reinforcements""",Common,Normal Trap Card,Normal Monster,1
SDK-039,"""Ancient Telescope""",Common,Normal Spell Card,Effect Monster,1
SDK-040,"""Just Desserts""",Common,Normal Trap Card,Flip monster,2
SDK-041,"""Lord of D.""",Super Rare,Effect Monster,Effect Monster,1
SDK-042,"""The Flute of Summoning Dragon""",Super Rare,Normal Spell Card,Flip monster,2
SDK-043,"""Mysterious Puppeteer""",Common,Effect Monster,Flip monster,1
SDK-044,"""Trap Master""",Common,Flip monster,Flip monster,1
SDK-045,"""Sogen""",Common,Field Spell Card,Effect Monster,1
SDK-046,"""Hane-Hane""",Common,Flip monster,Flip monster,1
SDK-047,"""Reverse Trap""",Common,Normal Trap Card,Normal Spell Card,1
SDK-048,"""Remove Trap""",Common,Normal Spell Card,Equip Spell Card,1
SDK-049,"""Castle Walls""",Common,Normal Trap Card,Normal Spell Card,1
SDK-050,"""Ultimate Offering""",Common,Continuous Trap Card,Continuous Trap Card,1
